Entry,Entry name,Protein names,Gene names,Organism,Length,Mass,Tissue specificity,Cofactor,Function [CC],Subcellular location [CC],Pathway
Q9HB55,CP343_HUMAN,Cytochrome P450 3A43 (EC 1.14.14.1),CYP3A43,Homo sapiens (Human),503,"57,670","TISSUE SPECIFICITY: Highest expression level in prostate. Also expressed in liver, kidney, pancreas, fetal liver and fetal skeletal muscle. {ECO:0000269|PubMed:11160876, ECO:0000269|PubMed:11243885}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,FUNCTION: Exhibits low testosterone 6-beta-hydroxylase activity.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
Q16678,CP1B1_HUMAN,Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),CYP1B1,Homo sapiens (Human),543,"60,846","TISSUE SPECIFICITY: Expressed in heart, brain, lung, skeletal muscle, kidney, spleen, thymus, prostate, testis, ovary, small intestine, colon, and peripheral blood leukocytes (PubMed:8175734). Expressed in retinal endothelial cells and umbilical vein endothelial cells (at protein level) (PubMed:19005183). {ECO:0000269|PubMed:19005183, ECO:0000269|PubMed:8175734}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:21147782}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins (PubMed:20972997, PubMed:11555828, PubMed:12865317, PubMed:10681376, PubMed:15258110). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:20972997, PubMed:11555828, PubMed:12865317, PubMed:10681376, PubMed:15258110). Exhibits catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2- and 4-hydroxy E1 and E2. Displays a predominant hydroxylase activity toward E2 at the C-4 position (PubMed:11555828, PubMed:12865317). Metabolizes testosterone and progesterone to B or D ring hydroxylated metabolites (PubMed:10426814). May act as a major enzyme for all-trans retinoic acid biosynthesis in extrahepatic tissues. Catalyzes two successive oxidative transformation of all-trans retinol to all-trans retinal and then to the active form all-trans retinoic acid (PubMed:10681376, PubMed:15258110). Catalyzes the epoxidation of double bonds of certain PUFA. Converts arachidonic acid toward epoxyeicosatrienoic acid (EpETrE) regioisomers, 8,9-, 11,12-, and 14,15- EpETrE, that function as lipid mediators in the vascular system (PubMed:20972997). Additionally, displays dehydratase activity toward oxygenated eicosanoids hydroperoxyeicosatetraenoates (HpETEs). This activity is independent of cytochrome P450 reductase, NADPH, and O2 (PubMed:21068195). Also involved in the oxidative metabolism of xenobiotics, particularly converting polycyclic aromatic hydrocarbons and heterocyclic aryl amines procarcinogens to DNA-damaging products (PubMed:10426814). Plays an important role in retinal vascular development. Under hyperoxic O2 conditions, promotes retinal angiogenesis and capillary morphogenesis, likely by metabolizing the oxygenated products generated during the oxidative stress. Also, contributes to oxidative homeostasis and ultrastructural organization and function of trabecular meshwork tissue through modulation of POSTN expression (By similarity). {ECO:0000250|UniProtKB:Q64429, ECO:0000269|PubMed:10426814, ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:11555828, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:15258110, ECO:0000269|PubMed:20972997, ECO:0000269|PubMed:21068195}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q64429}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q64429}. Microsome membrane {ECO:0000250|UniProtKB:Q64429}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q64429}. Mitochondrion {ECO:0000250|UniProtKB:Q64429}. Note=Located primarily in endoplasmic reticulum. Upon treatment with 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD), CYP1B1 is also targeted to mitochondria. {ECO:0000250|UniProtKB:Q64429}.","PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:11555828, ECO:0000269|PubMed:12865317}.; PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:15258110}.; PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:20972997}."
Q9HCS2,CP4FC_HUMAN,Cytochrome P450 4F12 (EC 1.14.14.1) (CYPIVF12),CYP4F12 UNQ568/PRO1129,Homo sapiens (Human),524,"60,309","TISSUE SPECIFICITY: Expressed in small intestine, liver, colon and heart. {ECO:0000269|PubMed:11162607, ECO:0000269|PubMed:11162645}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q02928}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of endogenous polyunsaturated fatty acids (PUFAs). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). Catalyzes the hydroxylation of carbon hydrogen bonds, with preference for omega-2 position. Metabolizes (5Z,8Z,11Z,14Z)-eicosatetraenoic acid (arachidonate) toward 18-hydroxy arachidonate (PubMed:11162607). Catalyzes the epoxidation of double bonds of PUFAs such as docosapentaenoic and docosahexaenoic acids (PubMed:16112640). Has low omega-hydroxylase activity toward leukotriene B4 and arachidonate (PubMed:11162645). Involved in the metabolism of xenobiotics. Catalyzes the hydroxylation of the antihistamine drug ebastine (PubMed:11162645). {ECO:0000269|PubMed:11162607, ECO:0000269|PubMed:11162645, ECO:0000269|PubMed:16112640}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9HBI6}. Microsome membrane {ECO:0000250|UniProtKB:Q9HBI6}.,PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:11162607}.
P78329,CP4F2_HUMAN,Cytochrome P450 4F2 (EC 1.14.14.1) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (Arachidonic acid omega-hydroxylase) (CYPIVF2) (Cytochrome P450-LTB-omega) (Docosahexaenoic acid omega-hydroxylase) (EC 1.14.14.79) (Leukotriene-B(4) 20-monooxygenase 1) (Leukotriene-B(4) omega-hydroxylase 1) (EC 1.14.14.94) (Phylloquinone omega-hydroxylase CYP4F2) (EC 1.14.14.78),CYP4F2,Homo sapiens (Human),520,"59,853","TISSUE SPECIFICITY: Liver. Also present in kidney: specifically expressed in the S2 and S3 segments of proximal tubules in cortex and outer medulla (PubMed:10660572). {ECO:0000269|PubMed:10492403, ECO:0000269|PubMed:10660572}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P24464}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, eicosanoids and vitamins (PubMed:18577768, PubMed:10833273, PubMed:10660572, PubMed:11997390, PubMed:17341693, PubMed:18574070). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). Catalyzes predominantly the oxidation of the terminal carbon (omega-oxidation) of long- and very long-chain fatty acids. Displays high omega-hydroxylase activity toward polyunsaturated fatty acids (PUFAs) (PubMed:18577768). Participates in the conversion of arachidonic acid to omega-hydroxyeicosatetraenoic acid (20-HETE), a signaling molecule acting both as vasoconstrictive and natriuretic with overall effect on arterial blood pressure (PubMed:10660572, PubMed:17341693, PubMed:18574070). Plays a role in the oxidative inactivation of eicosanoids, including both proinflammatory and anti-inflammatory mediators such as leukotriene B4 (LTB4), lipoxin A4 (LXA4), and several HETEs (PubMed:8026587, PubMed:9799565, PubMed:10833273, PubMed:10660572, PubMed:17341693, PubMed:18574070, PubMed:18577768). Catalyzes omega-hydroxylation of 3-hydroxy fatty acids (PubMed:18065749). Converts monoepoxides of linoleic acid leukotoxin and isoleukotoxin to omega-hydroxylated metabolites (PubMed:15145985). Contributes to the degradation of very long-chain fatty acids (VLCFAs) by catalyzing successive omega-oxidations and chain shortening (PubMed:16547005, PubMed:18182499). Plays an important role in vitamin metabolism by chain shortening. Catalyzes omega-hydroxylation of the phytyl chain of tocopherols (forms of vitamin E), with preference for gamma-tocopherols over alpha-tocopherols, thus promoting retention of alpha-tocopherols in tissues (PubMed:11997390). Omega-hydroxylates and inactivates phylloquinone (vitamin K1), and menaquinone-4 (MK-4, a form of vitamin K2), both acting as cofactors in blood coagulation (PubMed:19297519, PubMed:24138531). {ECO:0000269|PubMed:10660572, ECO:0000269|PubMed:10833273, ECO:0000269|PubMed:11997390, ECO:0000269|PubMed:15145985, ECO:0000269|PubMed:16547005, ECO:0000269|PubMed:17341693, ECO:0000269|PubMed:18065749, ECO:0000269|PubMed:18182499, ECO:0000269|PubMed:18574070, ECO:0000269|PubMed:18577768, ECO:0000269|PubMed:19297519, ECO:0000269|PubMed:24138531, ECO:0000269|PubMed:8026587, ECO:0000269|PubMed:9799565}.","SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:19297519, ECO:0000269|PubMed:24138531, ECO:0000269|PubMed:8026587}; Peripheral membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:20861217}; Peripheral membrane protein {ECO:0000305}.",PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:10833273}.; PATHWAY: Lipid metabolism; leukotriene B4 degradation. {ECO:0000269|PubMed:10833273}.; PATHWAY: Cofactor degradation; phylloquinone degradation. {ECO:0000269|PubMed:24138531}.
P20815,CP3A5_HUMAN,Cytochrome P450 3A5 (EC 1.14.14.1) (CYPIIIA5) (Cytochrome P450-PCN3),CYP3A5,Homo sapiens (Human),502,"57,109",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of steroid hormones and vitamins (PubMed:2732228, PubMed:10681376, PubMed:11093772, PubMed:12865317). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the hydroxylation of carbon-hydrogen bonds (PubMed:12865317, PubMed:2732228, PubMed:10681376, PubMed:11093772). Exhibits high catalytic activity for the formation of catechol estrogens from 17beta-estradiol (E2) and estrone (E1), namely 2-hydroxy E1 and E2 (PubMed:12865317). Catalyzes 6beta-hydroxylation of the steroid hormones testosterone, progesterone, and androstenedione (PubMed:2732228). Catalyzes the oxidative conversion of all-trans-retinol to all-trans-retinal, a rate-limiting step for the biosynthesis of all-trans-retinoic acid (atRA) (PubMed:10681376). Further metabolizes all trans-retinoic acid (atRA) to 4-hydroxyretinoate and may play a role in hepatic atRA clearance (PubMed:11093772). Also involved in the oxidative metabolism of xenobiotics, including calcium channel blocking drug nifedipine and immunosuppressive drug cyclosporine (PubMed:2732228). {ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:11093772, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:2732228}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:12865317}.; PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:10681376}.
Q7Z449,CP2U1_HUMAN,Cytochrome P450 2U1 (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),CYP2U1,Homo sapiens (Human),544,"61,987","TISSUE SPECIFICITY: Widely expressed with stronger expression in thymus, heart and cerebellum. {ECO:0000269|PubMed:14660610, ECO:0000269|PubMed:14975754, ECO:0000269|PubMed:15752708}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:24563460}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of arachidonic acid and its conjugates (PubMed:14660610, PubMed:24563460). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:14660610, PubMed:24563460). Acts as an omega and omega-1 hydroxylase for arachidonic acid and possibly for other long chain fatty acids. May modulate the arachidonic acid signaling pathway and play a role in other fatty acid signaling processes (PubMed:14660610, PubMed:24563460). May downregulate the biological activities of N-arachidonoyl-serotonin, an endocannabinoid that has anti-nociceptive effects through inhibition of fatty acid amide hydrolase FAAH, TRPV1 receptor and T-type calcium channels. Catalyzes C-2 oxidation of the indole ring of N-arachidonoyl-serotonin forming a less active product 2-oxo-N-arachidonoyl-serotonin (PubMed:24563460). {ECO:0000269|PubMed:14660610, ECO:0000269|PubMed:24563460}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14660610}; Multi-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000269|PubMed:14660610}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion inner membrane {ECO:0000269|PubMed:23176821}; Multi-pass membrane protein {ECO:0000255}.,"PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000305|PubMed:14660610, ECO:0000305|PubMed:24563460}."
Q5TCH4,CP4AM_HUMAN,Cytochrome P450 4A22 (CYPIVA22) (Fatty acid omega-hydroxylase) (Lauric acid omega-hydroxylase) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),CYP4A22,Homo sapiens (Human),519,"59,246",,,"FUNCTION: Catalyzes the omega- and (omega-1)-hydroxylation of various fatty acids such as laurate and palmitate. Shows no activity towards arachidonic acid and prostaglandin A1. Lacks functional activity in the kidney and does not contribute to renal 20-hydroxyeicosatetraenoic acid (20-HETE) biosynthesis. {ECO:0000269|PubMed:10860550, ECO:0000269|PubMed:15611369}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,
Q9NYL5,CP39A_HUMAN,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.26) (Cytochrome P450 39A1) (hCYP39A1) (Oxysterol 7-alpha-hydroxylase),CYP39A1,Homo sapiens (Human),469,"54,116",TISSUE SPECIFICITY: Liver specific. {ECO:0000269|PubMed:10748047}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q16850}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in neural cholesterol clearance through bile acid synthesis (PubMed:25201972, PubMed:10748047). Catalyzes 7-alpha hydroxylation of (24S)-hydroxycholesterol, a neural oxysterol that is metabolized to bile acids in the liver (PubMed:25201972, PubMed:10748047). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:25201972, PubMed:10748047). {ECO:0000269|PubMed:10748047, ECO:0000269|PubMed:25201972}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q64654}; Multi-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q64654}; Multi-pass membrane protein {ECO:0000255}.,PATHWAY: Steroid metabolism; cholesterol degradation. {ECO:0000305|PubMed:25201972}.; PATHWAY: Lipid metabolism; bile acid biosynthesis. {ECO:0000305|PubMed:25201972}.
Q9HBI6,CP4FB_HUMAN,Cytochrome P450 4F11 (CYPIVF11) (EC 1.14.14.1) (3-hydroxy fatty acids omega-hydroxylase CYP4F11) (Docosahexaenoic acid omega-hydroxylase) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80) (Phylloquinone omega-hydroxylase CYP4F11) (EC 1.14.14.78),CYP4F11,Homo sapiens (Human),524,"60,146","TISSUE SPECIFICITY: Expressed mainly in human liver, followed by kidney, heart, and skeletal muscle. {ECO:0000269|PubMed:10964514, ECO:0000269|PubMed:24138531}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q02928}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids and their oxygenated derivatives (oxylipins) (PubMed:24138531, PubMed:15364545, PubMed:18065749). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:15364545, PubMed:18065749, PubMed:24138531). Catalyzes with high efficiency the oxidation of the terminal carbon (omega-oxidation) of 3-hydroxy fatty acids, such as 3-hydroxyhexadecanoic and 3-hydroxyoctadecanoic acids, likely participating in the biosynthesis of long-chain 3-hydroxydicarboxylic acids (PubMed:18065749, PubMed:19932081). Omega-hydroxylates and inactivates phylloquinone (vitamin K1), and menaquinone-4 (MK-4, a form of vitamin K2), both acting as cofactors in blood coagulation (PubMed:24138531). Metabolizes with low efficiciency fatty acids, including (5Z,8Z,11Z,14Z)-eicosatetraenoic acid (arachidonate) and its oxygenated metabolite 8-hydroxyeicosatetraenoic acid (8-HETE) (PubMed:15364545, PubMed:19932081). Catalyzes N- and O-demethylation of drugs such as erythromycin, benzphetamine, ethylmorphine, chlorpromazine, imipramine and verapamil (PubMed:15364545). {ECO:0000269|PubMed:15364545, ECO:0000269|PubMed:18065749, ECO:0000269|PubMed:19932081, ECO:0000269|PubMed:24138531}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18065749}; Single-pass membrane protein {ECO:0000305}. Microsome membrane {ECO:0000269|PubMed:18065749}; Single-pass membrane protein {ECO:0000305}.,PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:15364545}.; PATHWAY: Lipid metabolism; oxylipin biosynthesis. {ECO:0000269|PubMed:15364545}.; PATHWAY: Cofactor degradation; phylloquinone degradation. {ECO:0000269|PubMed:24138531}.; PATHWAY: Xenobiotic degradation. {ECO:0000269|PubMed:15364545}.
P15538,C11B1_HUMAN,"Cytochrome P450 11B1, mitochondrial (CYPXIB1) (Cytochrome P-450c11) (Cytochrome P450C11) (Steroid 11-beta-hydroxylase, CYP11B1) (EC 1.14.15.4)",CYP11B1 S11BH,Homo sapiens (Human),503,"57,573",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P19099}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the biosynthesis of adrenal corticoids (PubMed:18215163). Catalyzes the hydroxylation of carbon hydrogen bond at 11-beta position of 11-deoxycortisol and 11-deoxycorticosterone/21-hydroxyprogesterone yielding cortisol or corticosterone, respectively (PubMed:18215163). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate and reducing the second into a water molecule. Two electrons are provided by NADPH via a two-protein mitochondrial transfer system comprising flavoprotein FDXR (adrenodoxin/ferredoxin reductase) and nonheme iron-sulfur protein FDX1 or FDX2 (adrenodoxin/ferredoxin) (PubMed:18215163). {ECO:0000269|PubMed:18215163}.",SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P14137}; Peripheral membrane protein {ECO:0000250|UniProtKB:P14137}.,PATHWAY: Steroid biosynthesis; glucocorticoid biosynthesis. {ECO:0000269|PubMed:18215163}.; PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:18215163}.
O75881,CP7B1_HUMAN,Cytochrome P450 7B1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (25/26-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.29) (3-hydroxysteroid 7-alpha hydroxylase) (Oxysterol 7-alpha-hydroxylase),CYP7B1,Homo sapiens (Human),506,"58,256","TISSUE SPECIFICITY: Widely expressed. Expressed in brain, testis, ovary, prostate, liver, colon, kidney, small intestine, thymus and spleen. {ECO:0000269|PubMed:10588945}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P22680}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of endogenous oxysterols and steroid hormones, including neurosteroids (PubMed:10588945, PubMed:24491228). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:10588945, PubMed:24491228). Catalyzes the hydroxylation of carbon hydrogen bonds of steroids with a preference for 7-alpha position (PubMed:10588945, PubMed:24491228). Usually metabolizes steroids carrying a hydroxy group at position 3, functioning as a 3-hydroxy steroid 7-alpha hydroxylase (PubMed:24491228). Hydroxylates oxysterols, including 25-hydroxycholesterol and (25R)-cholest-5-ene-3beta,26-diol toward 7-alpha hydroxy derivatives, which may be transported to the liver and converted to bile acids (PubMed:9802883, PubMed:10588945). Via its product 7-alpha,25-dihydroxycholesterol, a ligand for the chemotactic G protein-coupled receptor GPR183/EBI2, regulates B cell migration in germinal centers of lymphoid organs, thus guiding efficient maturation of plasma B cells and overall antigen-specific humoral immune response (By similarity). 7-alpha hydroxylates neurosteroids, including 3beta-hydroxyandrost-5-en-17-one (dehydroepiandrosterone) and pregnenolone, both involved in hippocampus-associated memory and learning (PubMed:24491228). Metabolizes androstanoids toward 6- or 7-alpha hydroxy derivatives (PubMed:24491228). {ECO:0000250|UniProtKB:Q60991, ECO:0000269|PubMed:10588945, ECO:0000269|PubMed:24491228, ECO:0000269|PubMed:9802883}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:9802883}; Multi-pass membrane protein {ECO:0000305}. Microsome membrane {ECO:0000305|PubMed:9802883}; Multi-pass membrane protein {ECO:0000305}.,"PATHWAY: Lipid metabolism; bile acid biosynthesis. {ECO:0000269|PubMed:10588945, ECO:0000269|PubMed:9802883}.; PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:24491228}."
P13584,CP4B1_HUMAN,Cytochrome P450 4B1 (EC 1.14.14.1) (CYPIVB1) (Cytochrome P450-HP),CYP4B1,Homo sapiens (Human),511,"58,991",TISSUE SPECIFICITY: Detected in the liver and lung (at protein level). {ECO:0000269|PubMed:12695542}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P51869}; ,"FUNCTION: Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
Q6NT55,CP4FN_HUMAN,Cytochrome P450 4F22 (EC 1.14.14.-),CYP4F22,Homo sapiens (Human),531,"61,958",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P51869}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in epidermal ceramide biosynthesis. Hydroxylates the terminal carbon (omega-hydroxylation) of ultra-long-chain fatty acyls (C28-C36) prior to ceramide synthesis (PubMed:26056268). Contributes to the synthesis of three classes of omega-hydroxy-ultra-long chain fatty acylceramides having sphingosine, 6-hydroxysphingosine and phytosphingosine bases, all major lipid components that underlie the permeability barrier of the stratum corneum (PubMed:26056268). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:26056268). {ECO:0000269|PubMed:26056268}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:26056268}; Single-pass type I membrane protein {ECO:0000269|PubMed:26056268}. Microsome membrane {ECO:0000269|PubMed:26056268}; Single-pass type I membrane protein {ECO:0000269|PubMed:26056268}.,
P19099,C11B2_HUMAN,"Cytochrome P450 11B2, mitochondrial (Aldosterone synthase) (ALDOS) (Aldosterone-synthesizing enzyme) (CYPXIB2) (Corticosterone 18-monooxygenase, CYP11B2) (EC 1.14.15.5) (Cytochrome P-450Aldo) (Cytochrome P-450C18) (Steroid 11-beta-hydroxylase, CYP11B2) (EC 1.14.15.4) (Steroid 18-hydroxylase)",CYP11B2,Homo sapiens (Human),503,"57,560",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:23322723}; ,"FUNCTION: A cytochrome P450 monooxygenase that catalyzes the biosynthesis of adrenal mineralocorticoid aldosterone (PubMed:11856349, PubMed:23322723, PubMed:1594605, PubMed:9814506). Catalyzes three sequential oxidative reactions of 11-deoxycorticosterone/21-hydroxyprogesterone, namely 11-beta hydroxylation followed with two successive oxidations at C18 to yield 18-hydroxy and then 18-aldehyde derivatives, resulting in the formation of aldosterone (PubMed:11856349, PubMed:23322723, PubMed:1594605, PubMed:9814506). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate and reducing the second into a water molecule. Two electrons are provided by NADPH via a two-protein mitochondrial transfer system comprising flavoprotein FDXR (adrenodoxin/ferredoxin reductase) and nonheme iron-sulfur protein FDX1 or FDX2 (adrenodoxin/ferredoxin) (PubMed:11856349, PubMed:23322723, PubMed:1594605, PubMed:9814506). {ECO:0000269|PubMed:11856349, ECO:0000269|PubMed:1594605, ECO:0000269|PubMed:23322723, ECO:0000269|PubMed:9814506}.",SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P14137}; Peripheral membrane protein {ECO:0000250|UniProtKB:P14137}.,"PATHWAY: Steroid biosynthesis. {ECO:0000269|PubMed:11856349, ECO:0000269|PubMed:1594605, ECO:0000269|PubMed:23322723, ECO:0000269|PubMed:9814506}."
Q6ZWL3,CP4V2_HUMAN,Cytochrome P450 4V2 (Docosahexaenoic acid omega-hydroxylase CYP4V2) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),CYP4V2,Homo sapiens (Human),525,"60,724","TISSUE SPECIFICITY: Broadly expressed. Detected in heart, brain, placenta, lung, liver, skeletal muscle, kidney, pancreas, retina, retinal pigment epithelium (RPE) and lymphocytes. {ECO:0000269|PubMed:15042513, ECO:0000269|PubMed:22772592}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P51869}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in fatty acid metabolism in the eye. Catalyzes the omega-hydroxylation of polyunsaturated fatty acids (PUFAs) docosahexaenoate (DHA) and its precursor eicosapentaenoate (EPA), and may contribute to the homeostasis of these retinal PUFAs (PubMed:22772592). Omega hydroxylates saturated fatty acids such as laurate, myristate and palmitate, the catalytic efficiency decreasing in the following order: myristate > laurate > palmitate (C14>C12>C16) (PubMed:19661213). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). {ECO:0000269|PubMed:19661213, ECO:0000269|PubMed:22772592}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22772592}; Single-pass membrane protein {ECO:0000305}.,"PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000305|PubMed:19661213, ECO:0000305|PubMed:22772592}."
